dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.10722672220103231,Decicision Tree,0.0006594629999744941,0.00014918099997885287,0.1061111111111112,11.719999999999995
cancer,0.10722672220103231,Random Forrest,0.08646590799997284,0.004804230999980065,0.07268518518518523,1301.4800000000002
cancer,0.10722672220103231,SVM,0.00089444100000037,0.00014753699999346288,0.09925925925925931,60.0000000000001
cancer,0.10722672220103231,AdaBoost,0.009295648000061189,0.001013585000018793,0.09722222222222232,98.3
cancer,0.10722672220103231,kNN,0.0003713399999560352,0.005423840000012207,0.10555555555555565,0
cancer,0.10722672220103231,Logistic Regression,0.007688348999981824,0.0001450600000134728,0.09101851851851855,0
cancer,0.10722672220103231,Neural Network,0.08418121899998372,0.000347531999959756,0.0792592592592593,75266.00000000019
cancer,0.10974987654930562,QDA,0.0007636500000535305,0.0002064959999461279,0.10861111111111117,1859.9999999999968
cancer,0.10974987654930562,LDA,0.0011461970000618753,0.00014073399994231288,0.14018518518518516,960.0000000000016
cancer,0.10974987654930562,Decicision Tree,0.0006548649999604095,0.00014826400002675657,0.10462962962962968,12.279999999999994
cancer,0.10974987654930562,Random Forrest,0.08754735400000756,0.004737448999976551,0.07009259259259261,1294.5599999999993
cancer,0.10974987654930562,SVM,0.0009580859999459791,0.00014881700000842095,0.0951851851851852,60.0000000000001
cancer,0.10974987654930562,AdaBoost,0.010539161000024255,0.0010827919999701412,0.09555555555555559,110.45000000000005
cancer,0.10974987654930562,kNN,0.0003650730000481418,0.0054021109999757766,0.10333333333333337,0
cancer,0.10974987654930562,Logistic Regression,0.007813525999954432,0.00014543900002536247,0.09009259259259263,0
cancer,0.10974987654930562,Neural Network,0.08465329099993146,0.00034996200000932744,0.07657407407407413,75266.00000000019
cancer,0.11233240329780274,QDA,0.0007697759999882696,0.0002079390000199055,0.11212962962962969,1859.9999999999968
cancer,0.11233240329780274,LDA,0.0011339040000166276,0.000139688000017486,0.1383333333333334,960.0000000000016
cancer,0.11233240329780274,Decicision Tree,0.00066549599996506,0.00015146500008086155,0.09944444444444449,12.399999999999993
cancer,0.11233240329780274,Random Forrest,0.0895741260000341,0.0049770059999718775,0.0689814814814815,1328.6000000000001
cancer,0.11233240329780274,SVM,0.0009619310000289264,0.0001500869999563292,0.08814814814814816,60.0000000000001
cancer,0.11233240329780274,AdaBoost,0.014065518999932468,0.001429977000025246,0.0915740740740741,149.8400000000002
cancer,0.11233240329780274,kNN,0.0003773110000111046,0.0054909749999569645,0.10592592592592597,0
cancer,0.11233240329780274,Logistic Regression,0.007983271000030072,0.00014597199998206637,0.08703703703703701,0
cancer,0.11233240329780274,Neural Network,0.08537082999996527,0.00036188600001878506,0.0801851851851852,75266.00000000019
cancer,0.11497569953977356,QDA,0.000801454999982525,0.00021999300003699317,0.11907407407407411,1859.9999999999968
cancer,0.11497569953977356,LDA,0.0011810989999503365,0.00014367900000252114,0.13212962962962968,960.0000000000016
cancer,0.11497569953977356,Decicision Tree,0.0006844720000026427,0.00015456000001904616,0.10000000000000006,12.319999999999988
cancer,0.11497569953977356,Random Forrest,0.09161868499997577,0.004977066000001285,0.07259259259259261,1324.9999999999995
cancer,0.11497569953977356,SVM,0.0009884169999804728,0.00015297700000701305,0.08851851851851855,60.0000000000001
cancer,0.11497569953977356,AdaBoost,0.009788792999943325,0.0010486200000377718,0.09740740740740747,100.77999999999999
cancer,0.11497569953977356,kNN,0.00037555699989752603,0.005646076000048196,0.10518518518518523,0
cancer,0.11497569953977356,Logistic Regression,0.008145543000046019,0.00015793199994732282,0.08592592592592593,0
cancer,0.11497569953977356,Neural Network,0.08855339500006267,0.00035882099998161713,0.0844444444444444,75266.00000000019
cancer,0.11768119524349985,QDA,0.0007754589999785821,0.00020886300006168308,0.10351851851851859,1859.9999999999968
cancer,0.11768119524349985,LDA,0.0011266210000485442,0.00013604000000668753,0.1255555555555556,960.0000000000016
cancer,0.11768119524349985,Decicision Tree,0.0006709629999932076,0.00014762400003746732,0.10185185185185186,12.679999999999993
cancer,0.11768119524349985,Random Forrest,0.0883734449999974,0.004862142000019956,0.06712962962962968,1388.8399999999995
cancer,0.11768119524349985,SVM,0.000981875999987096,0.00015119799993954072,0.0944444444444445,60.0000000000001
cancer,0.11768119524349985,AdaBoost,0.01541311499997391,0.0015667249999933117,0.09731481481481494,164.3200000000002
cancer,0.11768119524349985,kNN,0.0003571149999061163,0.00548416300001918,0.10250000000000009,0
cancer,0.11768119524349985,Logistic Regression,0.007695423999984993,0.0001467680000132532,0.08888888888888893,0
cancer,0.11768119524349985,Neural Network,0.08434422299998916,0.0003492280000045869,0.0774074074074074,75266.00000000019
cancer,0.12045035402587821,QDA,0.0007759400000031744,0.0002093250000325496,0.1012037037037037,1859.9999999999968
cancer,0.12045035402587821,LDA,0.0011876879999817903,0.00014325199996164889,0.1297222222222223,960.0000000000016
cancer,0.12045035402587821,Decicision Tree,0.0006980299999395354,0.0001533330000438582,0.09925925925925931,13.279999999999996
cancer,0.12045035402587821,Random Forrest,0.0889649410000038,0.004925941999972565,0.06962962962962967,1394.3599999999997
cancer,0.12045035402587821,SVM,0.0010253329998977279,0.00014795600004617886,0.08944444444444445,60.0000000000001
cancer,0.12045035402587821,AdaBoost,0.016083895999936433,0.0016238739999334941,0.09111111111111123,172.4000000000001
cancer,0.12045035402587821,kNN,0.00037378400001216496,0.005438767000005101,0.09796296296296299,0
cancer,0.12045035402587821,Logistic Regression,0.007942364999917116,0.00015316200007873705,0.08120370370370374,0
cancer,0.12045035402587821,Neural Network,0.08530602099999669,0.0003511059999709685,0.07972222222222228,75266.00000000019
cancer,0.12328467394420663,QDA,0.0008010989999547747,0.0002115349999621685,0.10009259259259264,1859.9999999999968
cancer,0.12328467394420663,LDA,0.0011915919999592004,0.00014029300004949618,0.12712962962962965,960.0000000000016
cancer,0.12328467394420663,Decicision Tree,0.0007171100000141449,0.0001597480000236828,0.10018518518518521,13.119999999999996
cancer,0.12328467394420663,Random Forrest,0.08944831899998462,0.0050236999999833665,0.06824074074074078,1435.8400000000001
cancer,0.12328467394420663,SVM,0.0010290539999459724,0.00015310100002352548,0.09120370370370373,60.0000000000001
cancer,0.12328467394420663,AdaBoost,0.01681683100005102,0.0017068650000055647,0.09101851851851855,179.84000000000015
cancer,0.12328467394420663,kNN,0.0003910129999894708,0.005612906000060317,0.10111111111111122,0
cancer,0.12328467394420663,Logistic Regression,0.007859356000053596,0.00014941100002943133,0.08814814814814823,0
cancer,0.12328467394420663,Neural Network,0.08616529600000827,0.0003550079999786248,0.07583333333333339,75266.00000000019
cancer,0.12618568830660204,QDA,0.0007880280000063064,0.00021151199998712398,0.09752293577981652,1859.9999999999968
cancer,0.12618568830660204,LDA,0.0011899870000434017,0.00014238899997508266,0.11889908256880737,960.0000000000016
cancer,0.12618568830660204,Decicision Tree,0.000718059999990146,0.00015364500004579892,0.10348623853211009,13.439999999999994
cancer,0.12618568830660204,Random Forrest,0.08909207400001835,0.004972318999980417,0.06926605504587156,1431.9200000000008
cancer,0.12618568830660204,SVM,0.000986383999979808,0.00015080299995133827,0.08807339449541282,60.0000000000001
cancer,0.12618568830660204,AdaBoost,0.014133930999933006,0.0014626510000107372,0.0923853211009174,146.90000000000015
cancer,0.12618568830660204,kNN,0.0003785699999752978,0.0055105149999781135,0.09871559633027525,0
cancer,0.12618568830660204,Logistic Regression,0.00785596199996689,0.00015275400001883103,0.08376146788990822,0
cancer,0.12618568830660204,Neural Network,0.0854320839999582,0.00035331800004314564,0.0814678899082569,75266.00000000019
cancer,0.1291549665014884,QDA,0.0007953699999870881,0.00021043300006567733,0.09870370370370378,1859.9999999999968
cancer,0.1291549665014884,LDA,0.0011601560000235617,0.00013755599999058178,0.11851851851851852,960.0000000000016
cancer,0.1291549665014884,Decicision Tree,0.0007066660000327827,0.0001497409999683441,0.09944444444444445,13.399999999999997
cancer,0.1291549665014884,Random Forrest,0.08988682099997279,0.0049247189999732655,0.06518518518518523,1452.0000000000007
cancer,0.1291549665014884,SVM,0.001023905000001832,0.0001517419999981939,0.09074074074074079,60.0000000000001
cancer,0.1291549665014884,AdaBoost,0.02395385299995723,0.002333531000022049,0.08351851851851856,254.34000000000003
cancer,0.1291549665014884,kNN,0.00037125399991055035,0.005461903000032179,0.0972222222222223,0
cancer,0.1291549665014884,Logistic Regression,0.00777087799997389,0.000144274000012956,0.0882407407407408,0
cancer,0.1291549665014884,Neural Network,0.08570770799995447,0.0003570549999676586,0.07685185185185187,75266.00000000019
cancer,0.1321941148466029,QDA,0.0008076470000105473,0.00021691999995709913,0.09398148148148151,1859.9999999999968
cancer,0.1321941148466029,LDA,0.0012119990000519468,0.00014241299992136193,0.11388888888888891,960.0000000000016
cancer,0.1321941148466029,Decicision Tree,0.0007407400000283814,0.0001550239999960468,0.09953703703703703,13.999999999999996
cancer,0.1321941148466029,Random Forrest,0.0915080130000024,0.005073198999989471,0.06092592592592599,1499.7199999999993
cancer,0.1321941148466029,SVM,0.0009978059999866675,0.00015425300006427273,0.08916666666666674,60.0000000000001
cancer,0.1321941148466029,AdaBoost,0.0226759199999924,0.0022353680000287567,0.08453703703703702,236.96000000000018
cancer,0.1321941148466029,kNN,0.0003840600000148698,0.00559297499998138,0.09527777777777782,0
cancer,0.1321941148466029,Logistic Regression,0.00803233299991007,0.0001539860000593762,0.08620370370370375,0
cancer,0.1321941148466029,Neural Network,0.08730268799996341,0.0003640930000256048,0.08240740740740743,75266.00000000019
cancer,0.1353047774579807,QDA,0.0007988089999435036,0.0002119970000421745,0.08759259259259264,1859.9999999999968
cancer,0.1353047774579807,LDA,0.0012083990000064666,0.00014002100001562207,0.10814814814814819,960.0000000000016
cancer,0.1353047774579807,Decicision Tree,0.0007389599999805795,0.00015213199997560878,0.09222222222222227,13.920000000000002
cancer,0.1353047774579807,Random Forrest,0.08985225699998413,0.005043932000007771,0.06388888888888894,1506.5199999999995
cancer,0.1353047774579807,SVM,0.0010619819999647014,0.00015644600002815424,0.08500000000000009,60.0000000000001
cancer,0.1353047774579807,AdaBoost,0.02203326400003789,0.002171722999983104,0.08138888888888896,228.21000000000015
cancer,0.1353047774579807,kNN,0.0003759369999716001,0.00550009499996122,0.09444444444444451,0
cancer,0.1353047774579807,Logistic Regression,0.007849824999984774,0.00014647099999820062,0.08138888888888894,0
cancer,0.1353047774579807,Neural Network,0.0854800140000043,0.0003475769999386101,0.08129629629629635,75266.00000000019
cancer,0.1384886371393873,QDA,0.0007912520000445513,0.00020900800001982136,0.0867592592592593,1859.9999999999968
cancer,0.1384886371393873,LDA,0.0011774740000328166,0.0001394649999747344,0.10462962962962974,960.0000000000016
cancer,0.1384886371393873,Decicision Tree,0.0007513590000417027,0.00015185000000201396,0.09342592592592602,14.319999999999993
cancer,0.1384886371393873,Random Forrest,0.08922985299994253,0.0049537479999435165,0.06222222222222228,1534.7200000000007
cancer,0.1384886371393873,SVM,0.0010537440000553035,0.00015145399999710212,0.08333333333333336,60.0000000000001
cancer,0.1384886371393873,AdaBoost,0.02249437599997691,0.0021912910000537523,0.07972222222222224,235.6000000000002
cancer,0.1384886371393873,kNN,0.0003836069999306345,0.005528623000045625,0.09629629629629635,0
cancer,0.1384886371393873,Logistic Regression,0.007874075000045194,0.00014638699999522942,0.08203703703703707,0
cancer,0.1384886371393873,Neural Network,0.08505380600006904,0.00034966600003826897,0.08388888888888894,75266.00000000019
cancer,0.1417474162926805,QDA,0.0008109380000314556,0.00021128200003659006,0.09324074074074071,1859.9999999999968
cancer,0.1417474162926805,LDA,0.001177112000013949,0.00013709399998333534,0.10490740740740738,960.0000000000016
cancer,0.1417474162926805,Decicision Tree,0.0007488110000031157,0.00014993699998740336,0.10305555555555558,14.919999999999996
cancer,0.1417474162926805,Random Forrest,0.09093990900001696,0.004996791000003211,0.06805555555555558,1605.3599999999997
cancer,0.1417474162926805,SVM,0.0012024080000082903,0.00015265200000612824,0.08435185185185184,60.0000000000001
