dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.9,AdaBoost,0.165531584,0.0054207909999997,0.0442477876106194,750.0
cancer,1.0,QDA,0.0029820000000002,0.0009111659999998,0.0526315789473684,1860.0
cancer,1.0,LDA,0.0052365410000003,0.0009359589999995,0.0614035087719297,960.0
cancer,1.0,Decicision Tree,0.006353292,0.0005986250000002,0.0789473684210526,62.0
cancer,1.0,Random Forrest,0.1352641249999999,0.0049602499999998,0.043859649122807,6988.0
cancer,1.0,Random Forrest (No Bootstrap),0.1609417499999992,0.0043720830000006,0.0526315789473684,9464.0
cancer,1.0,SVM,0.0168012500000003,0.0006974579999994,0.131578947368421,60.0
cancer,1.0,AdaBoost,0.1801936670000001,0.0053544169999995,0.0526315789473684,750.0
diabetes,0.2,QDA,0.1031851249999995,0.0229020410000018,0.2338379060233365,924.0
diabetes,0.2,LDA,0.1682302910000004,0.0022017500000011,0.139131977294229,483.0
diabetes,0.2,Decicision Tree,0.1156596249999992,0.0086907079999996,0.2053177231157363,28526.0
diabetes,0.2,Random Forrest,2.629260291999998,0.6871925000000019,0.140807316304005,2783892.0
diabetes,0.2,Random Forrest (No Bootstrap),4.646032000000005,0.7831201249999964,0.1446507410911384,4324192.0
diabetes,0.2,SVM,2.3471949589999994,0.0030645000000006,0.6427783033743298,42.0
diabetes,0.2,AdaBoost,1.4518207079999996,0.1999794589999979,0.1353871018606117,750.0
diabetes,0.3,QDA,0.1601959999999991,0.0234803330000019,0.2311376537369914,924.0
diabetes,0.3,LDA,0.2497899589999974,0.0023091250000035,0.1404525386313465,483.0
diabetes,0.3,Decicision Tree,0.178693625000001,0.009327166999995,0.2054754020813624,43586.0
diabetes,0.3,Random Forrest,3.997083209000003,0.7558263330000017,0.1414183222958057,4185232.0
diabetes,0.3,Random Forrest (No Bootstrap),5.116599707999995,0.8718270840000031,0.1463063702302113,6509068.0
diabetes,0.3,SVM,4.91133649999999,0.0020003750000086,0.2105802585935036,42.0
diabetes,0.3,AdaBoost,2.040322500000002,0.2180207499999937,0.1363528855250709,750.0
diabetes,0.4,QDA,0.2041265419999973,0.022732665999996,0.2338970356354462,924.0
diabetes,0.4,LDA,0.3367490409999902,0.0025764590000108,0.1385998107852412,483.0
diabetes,0.4,Decicision Tree,0.2438305829999905,0.0098502500000137,0.2072098707032481,58838.0
diabetes,0.4,Random Forrest,5.432641875000002,1.2139235830000104,0.1405313781141596,5664496.0
diabetes,0.4,Random Forrest (No Bootstrap),7.236750915999991,0.9242728749999998,0.14581362346263,8803216.0
diabetes,0.4,SVM,8.13248462499999,0.0030632500000109,0.1399006622516556,42.0
diabetes,0.4,AdaBoost,2.716712333000004,0.2003517090000031,0.1359192683695994,750.0
diabetes,0.5,QDA,0.2581075420000047,0.0222142500000046,0.2293637653736991,924.0
diabetes,0.5,LDA,0.4149120829999901,0.0021999590000092,0.1379888047934405,483.0
diabetes,0.5,Decicision Tree,0.3037520839999956,0.009597124999999,0.2056527909176916,73514.0
diabetes,0.5,Random Forrest,6.822225375000002,0.8572516250000035,0.1403539892778303,7026644.0
diabetes,0.5,Random Forrest (No Bootstrap),8.872623499999989,1.0904569580000043,0.1463063702302113,10910532.0
diabetes,0.5,SVM,11.983734457999986,0.0031741669999973,0.1396641438032166,42.0
diabetes,0.5,AdaBoost,3.452968416999994,0.205619458000001,0.1344213181961526,750.0
diabetes,0.7000000000000001,QDA,0.3645512079999946,0.022122582999998,0.2286936297697887,924.0
diabetes,0.7000000000000001,LDA,0.5904778340000121,0.0020866659999967,0.1390925575528224,483.0
diabetes,0.7000000000000001,Decicision Tree,0.4313295840000251,0.0103056659999936,0.2022824030274361,103882.0
diabetes,0.7000000000000001,Random Forrest,9.897587958000004,0.927489707999996,0.1413789025543992,9851260.0
diabetes,0.7000000000000001,Random Forrest (No Bootstrap),12.659736666000017,1.0986216249999927,0.1451040681173131,15316512.0
diabetes,0.7000000000000001,SVM,20.551036874999998,0.0053300839999792,0.1495782087669505,42.0
