dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.14563484775012436,SVM,0.0007288999995580525,0.0001689000000624219,0.09259259259259256,60.0
cancer,0.14563484775012436,AdaBoost,0.011458300000413146,0.001664100000198232,0.05555555555555558,119.0
cancer,0.14563484775012436,kNN,0.00037309999970602803,0.005386200000430108,0.07407407407407407,0
cancer,0.14563484775012436,Logistic Regression,0.00787670000045182,0.00016200000027311035,0.10185185185185186,0
cancer,0.14563484775012436,Neural Network,0.10940329999993992,0.0003194999999323045,0.09259259259259256,75266.0
cancer,0.15264179671752334,QDA,0.0007995000005394104,0.0002313999993930338,0.04587155963302747,1860.0
cancer,0.15264179671752334,LDA,0.0011962999997194856,0.0001644000003580004,0.08256880733944949,960.0
cancer,0.15264179671752334,Decicision Tree,0.0008472999998048181,0.0001449999999749707,0.06422018348623848,18.0
cancer,0.15264179671752334,Random Forrest,0.08928749999995489,0.0055046999996193335,0.03669724770642202,1688.0
cancer,0.15264179671752334,SVM,0.0011052999998355517,0.00016330000016751,0.15596330275229353,60.0
cancer,0.15264179671752334,AdaBoost,0.008357599999726517,0.0009454000000914675,0.03669724770642202,75.0
cancer,0.15264179671752334,kNN,0.0004208999998809304,0.006249400000342575,0.07339449541284404,0
cancer,0.15264179671752334,Logistic Regression,0.007626799999343348,0.00014210000063030748,0.13761467889908252,0
cancer,0.15264179671752334,Neural Network,0.10557029999927181,0.0003758000002562767,0.07339449541284404,75266.0
cancer,0.15998587196060582,QDA,0.0007308000003831694,0.000189200000022538,0.12962962962962965,1860.0
cancer,0.15998587196060582,LDA,0.0011689999992086086,0.00013330000001587905,0.08333333333333337,960.0
cancer,0.15998587196060582,Decicision Tree,0.0008070000003499445,0.00014100000043981709,0.08333333333333337,18.0
cancer,0.15998587196060582,Random Forrest,0.08086290000028384,0.004711999999926775,0.05555555555555558,1652.0
cancer,0.15998587196060582,SVM,0.0009675000001152512,0.00015519999942625873,0.14814814814814814,60.0
